"Month","FeeIncome","LightBill","Salary","PTCharges","TotalSalary"
"MAY","178800","20000","30600","50600","40000"
"JUNE","135800","20000","19800","39800","40000"
"JULY","134800","20000","37200","57200","40000"
"AUGUST","130000","20000","31200","51200","40000"
"SEPT","71600","20000","13800","33800","40000"
"OCT","108700","20000","28800","48800","40000"
"NOV","109300","20000","6000","26000","40000"
"DEC","98800","20000","11500","31500","40000"
"JAN","78500","20000","14500","34500","40000"
"FEB","103400","20000","11500","31500","40000"
"MARCH","133100","20000","14500","34500","40000"
"LIGHT BILL","","","","",""
"SALARY","","","","",""
"LOAN INSTALMENT","","","","",""
"WATER BILL","","","","",""
"CA BILL","","","","",""
"RANT","","","","",""
"AC LOAN PAID","","","","",""
"FEE INCOME","","SALARY","PT CHARGES","TOTAL SALARY","LOAN INSTALMENT"
"APRIL","","20000","11500","31500","40000"
"MAY","","20000","14500","34500","40000"
"JUNE","","20000","13500","33500","40000"
"JULY","","20000","8500","28500","40000"
"AUGUST","","","","0","40000"
"SEPT","","","","0","40000"
"OCT","","","","0","40000"
"NOV","","","","0","40000"
"DEC","","","","0","40000"
"JAN","","","","0","40000"
"FEB","","","","0","40000"
"MARCH","","","","0","40000"
"LIGHT BILL","","","","",""
"SALARY","","","","",""
"LOAN INSTALMENT","","","","",""
"WATER BILL","","","","",""
"CA BILL","","","","",""
"RANT","","","","",""
"AC LOAN PAID","","","","",""
